data;estado;municipio;confirmados;obitos;populacao
44008;RJ;Rio das Ostras;766;27;150674
44008;CE;Iguatu;763;25;102498
44008;ES;Viana;763;38;78239
44003;PB;Pedras de Fogo;760;12;28458
44008;RJ;Itaperuna;754;1;103224
44008;SP;Limeira;752;33;306114
44008;RJ;Guapimirim;744;34;60517
44008;AM;Alvarães;736;13;16041
44008;RJ;Mesquita;731;105;176103
44008;CE;Aracati;722;34;74547
44008;AP;Porto Grande;717;5;21971
44007;RN;Apodi;713;9;35845
44008;MA;Vitorino Freire;704;2;31523
44003;PB;Bayeux;699;48;96880
44006;RO;São Miguel do Guaporé;698;7;23005
44008;CE;Massapê;694;34;38737
44008;RS;São Leopoldo;694;11;236835
44008;CE;Redenção;690;25;29053
44008;BA;Simões Filho;689;20;134377
44008;GO;Anápolis;688;5;386923
44008;MG;Teófilo Otoni;688;27;140592
44008;PA;Portel;684;35;62043
44008;CE;Pacajus;683;29;72203
44008;AL;Rio Largo;681;35;75120
44008;RJ;Nilópolis;679;76;162485
44003;PB;Caaporã;678;9;21828
44008;MA;São Mateus do Maranhão;675;19;41529
44008;PA;Mocajuba;674;18;31136
44008;MA;Tutóia;664;13;58860
44008;PA;Tucumã;663;8;39602
44008;ES;Aracruz;656;29;101220
44008;PE;Goiana;656;44;79758
44008;CE;Crateús;654;22;75074
44008;GO;Águas Lindas de Goiás;654;23;212440
44008;AM;Tapauá;653;3;17156
44008;PA;Afuá;653;4;39218
44008;PA;Curionópolis;645;9;17929
44008;MG;Itabira;644;1;120060
44008;PI;Campo Maior;644;9;46833
44008;AM;Rio Preto da Eva;643;13;33347
44008;CE;Viçosa do Ceará;641;20;60889
44008;ES;Marataízes;641;32;38499
44008;MG;Muriaé;639;18;108763
44008;CE;Aquiraz;638;23;80271
44008;MA;Presidente Dutra;638;2;47804
44008;PE;Água Preta;633;26;36771
44008;AM;São Paulo de Olivença;630;18;39299
44008;CE;Quixeramobim;629;24;81082
44008;MG;Uberaba;626;23;333783
44008;SP;Hortolândia;623;25;230851
44008;AL;Coruripe;622;16;56933
44008;AM;Humaitá;622;6;55080
44008;AM;Boca do Acre;621;9;34308
44008;BA;Vitória da Conquista;616;15;338480
44008;PA;Marituba;616;56;131521
44008;SP;Caieiras;610;50;101470
44008;BA;Ipiaú;607;9;45873
44008;SP;Cajamar;605;40;76801
44008;PA;Xinguara;599;11;44751
44008;SP;Jacareí;599;27;233662
44008;CE;Amontada;593;14;43452
44007;AC;Tarauacá;590;3;42567
44008;BA;Candeias;589;15;87076
44008;CE;Limoeiro do Norte;589;18;59540
44008;MA;Balsas;588;2;94887
44008;PE;Petrolina;586;24;349145
44008;PA;Gurupá;584;9;33376
44008;SP;Araçatuba;584;15;197016
44008;SP;Botucatu;583;15;146497
44008;MA;Governador Nunes Freire;580;1;25577
44008;SC;Criciúma;580;11;215186
44008;AM;Barreirinha;579;7;32041
44008;MA;Pio XII;578;4;21485
44008;PE;São Lourenço da Mata;577;67;113230
44007;RR;Pacaraima;575;14;17401
44008;RS;Novo Hamburgo;573;16;246748
44008;CE;Crato;570;11;132123
44008;CE;Uruburetama;570;14;21850
44007;PR;Toledo;567;9;140635
44008;AM;Anori;566;10;21010
44008;CE;Itatira;565;13;21647
44008;ES;São Mateus;564;15;130611
44008;MT;Sorriso;563;7;90313
44008;MA;Pinheiro;560;25;83387
44008;PA;Augusto Corrêa;557;15;45998
